group_key,rolling_mean,rolling_std
Alcatel,58.45849072251278,17.853129155012628
Apple,611.8925396911256,251.42717816630335
BLU,77.99209837889383,44.29582028190738
Blackview,244.4502243219222,190.98944038348196
Cuifati,50.43227272727273,17.160939194334226
DOOGEE,272.5312191011366,129.377695933644
Dpofirs,54.23186363636364,29.14536485878091
Generic,75.06415282118843,110.29564559567613
Google,312.75502317443596,220.12936832816365
Hilitand,67.37031818181818,29.435503947277535
Honor,479.7685752858253,338.3313337416571
KYOCERA,141.0706493499772,67.72666247906875
LG,159.7873246251956,83.70061293613061
Motorola,152.07382749887026,100.9295615739993
Nokia,133.3444584603549,110.86979292117883
OUKITEL,269.058989153548,134.32690152831074
OnePlus,303.95664364897203,226.60158617227626
Plum,98.11440909090909,51.56038228333315
SAMSUNG,349.2031467305735,231.82173841039418
Sony,795.2517272727273,321.1503871319474
T-Mobile,94.475,20.436072274289888
Total By Verizon,63.81412144522144,29.826766831151822
TracFone,79.11286380443502,62.468627299265414
UMIDIGI,123.1824914180443,38.17429188649392
Ulefone,277.6472094082155,170.18974145549888
VBESTLIFE,56.428,17.92504752821841
Xgody,74.60986363636363,8.529535680479363
Xiaomi,298.993949087202,190.58123165895233
Yoidesu,69.31858974358974,35.5531124870274
